,Unnamed: 0,id,full_name,prefix,pdes,class,diameter,diameter_sigma,albedo,rot_per,GM,BV,UB,IR,e,a,q,i,moid,spec_B,spec_T,dv,dv2
6930,569260,bK10VD9M,       (2010 VM139),,2010 VM139,APO,,,,,,,,,0.2915036627039302,1.4127825126237432,1.00095123558986,9.905111681594805,0.0101734,,,5.313053,4.537788879949496
6931,569261,bK10VD9N,       (2010 VN139),,2010 VN139,APO,,,,,,,,,0.7482081045429502,1.8716052739407931,0.4712550394729633,1.515197494261798,0.0257261,,,8.867391,8.81121160615153
6932,569262,bK10VD9O,       (2010 VO139),,2010 VO139,APO,,,,,,,,,0.7033684884379489,2.070045943289606,0.6140408571608877,7.720461050661669,0.0077933,,,8.203901,8.340007338566252
6933,569263,bK10VD9P,       (2010 VP139),,2010 VP139,APO,,,,,,,,,0.3078486182732613,1.205753135838275,0.8345636989918098,2.703733816622441,0.000482988,,,5.407057,4.077958796038366
6934,569264,bK10VD9Q,       (2010 VQ139),,2010 VQ139,AMO,,,,,,,,,0.3908442573119839,1.7094710283694468,1.0413340938900368,2.704490153987139,0.0512241,,,5.3425449999999985,4.804819493587706
6935,569265,bK10VD9R,       (2010 VR139),,2010 VR139,APO,,,,,,,,,0.3024622883692231,1.43510384019379,1.001039048641316,0.3685874197029876,0.00678134,,,4.527557,3.5159356378114777
6936,569268,bK10VD9W,       (2010 VW139),,2010 VW139,AMO,,,,,,,,,0.3660370705208726,1.620209233657453,1.0271525921386109,10.427986277430671,0.060702699999999984,,,5.845321,5.421170452489341
6937,569270,bK10VD9Y,       (2010 VY139),,2010 VY139,AMO,,,,,,,,,0.5858191084259807,2.596798241613604,1.0755442109493678,9.506201442487992,0.0923009,,,7.217772999999998,7.56755482897608
6938,569271,bK10VD9Z,       (2010 VZ139),,2010 VZ139,APO,,,,,,,,,0.5043456565847702,1.622801611475811,0.8043486672292198,2.851801853364265,0.019822,,,6.2957790000000005,5.805622314417288
6939,569272,bK10VE0A,       (2010 VA140),,2010 VA140,AMO,,,,,,,,,0.3255790991507639,1.5350566225694633,1.035274270247883,1.5615663275709633,0.0406738,,,4.922687000000002,4.085359097743941
6940,569273,bK10VE0B,       (2010 VB140),,2010 VB140,AMO,,,,,,,,,0.5334837116777789,2.4997972410864704,1.166196130469789,7.4173469489678165,0.190933,,,7.119033,7.342569428374174
6941,569274,bK10VE0C,       (2010 VC140),,2010 VC140,APO,,,,,,,,,0.3309664098891097,1.4815481249643383,0.9912054609669488,1.4588002972295449,0.00290578,,,4.714642,3.8152103248163134
6942,569624,bK10VI8K,       (2010 VK188),,2010 VK188,AMO,,,,,,,,,0.4551372356686599,2.353817102028537,1.282507292941652,5.057872356937797,0.292459,,,7.141085,7.185323495678569
6943,569646,bK10VJ0Y,       (2010 VY190),,2010 VY190,AMO,,,,,,,,,0.3092001700557414,1.809448053483856,1.249966407639618,19.96691332021629,0.29982600000000004,,,8.510049,8.699267426593197
6944,569673,bK10VJ4W,       (2010 VW194),,2010 VW194,APO,,,,,,,,,0.4662318948968091,1.822873467705116,0.9729917166998424,2.019415194663806,0.00116855,,,5.526019,5.176652046137707
6945,569708,bK10VJ8U,       (2010 VU198),,2010 VU198,AMO,,,,,,,,,0.3774513768471241,1.8146482574263232,1.1297067741675229,30.63047927411304,0.3116,,,10.680149,11.536389744524733
6946,569994,bK10W00A,       (2010 WA),,2010 WA,APO,,,,0.0085799,,,,,0.5045410772225658,1.6974900340904442,0.8410365837158814,8.22611105405591,4.57597e-05,,,6.506536,6.220270330521644
6947,569995,bK10W00B,       (2010 WB),,2010 WB,APO,,,,,,,,,0.288210211330118,1.3587616050485771,0.9671526357102764,5.4984065078058135,0.00490785,,,4.85895,3.8115893074771074
6948,569997,bK10W00H,       (2010 WH),,2010 WH,AMO,,,,,,,,,0.4688850070876828,2.421470648834748,1.286079366493251,21.988269544317077,0.447963,,,9.365882,10.064528147205383
6949,569998,bK10W00J,       (2010 WJ),,2010 WJ,AMO,,,,,,,,,0.285291098393698,1.798020283460252,1.285061101857728,27.020089437190016,0.457147,,,10.319005,10.90297848702736
6950,569999,bK10W00L,       (2010 WL),,2010 WL,AMO,,,,,,,,,0.5364404190172785,2.309690084892402,1.0706789679526678,22.85012983999206,0.191638,,,9.0016,9.738863686534382
6951,570004,bK10W00T,       (2010 WT),,2010 WT,AMO,,,,,,,,,0.3192794423107395,1.593851027099539,1.084967160040799,8.976026754538767,0.113409,,,5.814158,5.240169475720667
6952,570011,bK10W01C,       (2010 WC1),,2010 WC1,APO,,,,,,,,,0.1606396175424803,1.144544296101792,0.9606851381155732,2.090658094303834,0.0105763,,,4.252438,2.5956763748414793
6953,570013,bK10W01E,       (2010 WE1),,2010 WE1,AMO,,,,,,,,,0.4924651078304712,2.072493783127432,1.0518629087415998,5.320113513797241,0.0681727,,,6.147481,6.063093559186984
6954,570014,bK10W01F,       (2010 WF1),,2010 WF1,APO,,,,,,,,,0.4904163439724679,1.8214107590034136,0.9281611537008421,18.479340661437238,0.07446900000000001,,,7.708471,7.970650180347326
6955,570015,bK10W01G,       (2010 WG1),,2010 WG1,APO,,,,,,,,,0.6741616928658153,1.883089226847005,0.6135826058584488,19.03169669772018,0.0440762,,,9.466066,9.914434038495576
6956,570016,bK10W01H,       (2010 WH1),,2010 WH1,APO,,,,,,,,,0.1566169433451018,1.076919399566087,0.908255574977004,12.23845406463037,0.0332333,,,6.3355190000000015,5.128024251257709
6957,570017,bK10W01J,       (2010 WJ1),,2010 WJ1,APO,,,,,,,,,0.4568039322853669,1.8621447700218583,1.0115097165912428,4.349632077776723,0.0389476,,,5.649223,5.354857964708882
6958,570033,bK10W03B,       (2010 WB3),,2010 WB3,APO,,,,,,,,,0.7735248615050343,1.5428284574209978,0.3494122885683947,8.929402100124692,0.110826,,,10.379001,10.219243983667912
